sample_filename,raw_sha,converted_sha
202405081555_EB_dbgi_002387_01_01.mzML,ef77188a7728ed044e662113c6f3904d9d1ffe48,d92782232a663ab8b29d11b02778ce4b1141e229
202405081555_EB_dbgi_001771_01_01.mzML,3ece10a4f3b56e8231fddb3db4b13a5fd842416d,f79e1120548ef78f13c5ccf1c76f7701028c8d02
20240307_EB_dbgi_002532_01_01.mzML,0e9fbac90b7b5d1c7d4da548bd67c393900e20eb,62162259d6ed1c2d7d4bbf5732c224494f02414f
20240405_EB_dbgi_002855_01_01_100mm_C18_15min_DDA_ELON_pos.mzML,f4761c10937ad437a032747b8b68c0278ffb8a25,fe6ce0d4c68b4a9c753b03b7285eec69026c3295
202405081555_EB_dbgi_003008_01_01.mzML,9b587601b2e3a4e8bd18dc1ddafdd36fe6a762dc,36dbe1d6f73165896b2af2d8e47223a2604f4d07
20240405_EB_dbgi_001855_01_01_100mm_C18_15min_DDA_ELON_pos.mzML,c2d37ca58331820a946d7cfad92b6ec29fde6185,3a433ad1f4b60bbeb3ac20262b403444f6be938d
20240405_EB_dbgi_003001_01_01_100mm_C18_15min_DDA_ELON_pos.mzML,685b1878cc2fd1c96d6c975eaea475e7aadb56e1,2e4d44e5d4f52ab549297151c0a0a88dc3153502
202404191203_HC_dbgi_002814_01_01.mzML,37f0693a0b3120e110b229bb0be2f9df2916a868,1a981f70ca2178ef4b11d5afaebb661fe7e30c48
202405241509_EB_dbgi_002714_01_01.mzML,4d5af25634fd0dedb145f179cb5a102e389085f9,afe3bc229187a644190e42afbbac284b83f6c3e8
202405241509_EB_dbgi_001872_01_01.mzML,baa55a7b0a1c061c20d6de4d783f4a4a52f68971,0a3930b326d097882071b0f31b43213fbe649637
20240307_EB_dbgi_002972_01_01.mzML,0d151ce04d8487f5573fbf054a3b8c925f90c535,7bcdbeca30979d9bff1d4d8ce81b78cee73548e0
