filename	sample_id	sample_type
20240405_EB_dbgi_002490_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002490_01_01	sample
20240405_EB_dbgi_002497_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002497_01_01	sample
20240405_EB_dbgi_002500_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002500_01_01	sample
20240405_EB_dbgi_002502_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002502_01_01	sample
20240405_EB_dbgi_002506_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002506_01_01	sample
20240405_EB_dbgi_002508_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002508_01_01	sample
20240405_EB_dbgi_002510_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002510_01_01	sample
20240405_EB_dbgi_002511_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002511_01_01	sample
20240405_EB_dbgi_002526_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002526_01_01	sample
20240405_EB_dbgi_002527_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002527_01_01	sample
20240405_EB_dbgi_002549_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002549_01_01	sample
20240405_EB_dbgi_002552_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002552_01_01	sample
20240405_EB_dbgi_002593_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002593_01_01	sample
20240405_EB_dbgi_002598_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002598_01_01	sample
20240405_EB_dbgi_002608_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002608_01_01	sample
20240405_EB_dbgi_002615_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002615_01_01	sample
20240405_EB_dbgi_002625_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002625_01_01	sample
20240405_EB_dbgi_002651_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002651_01_01	sample
20240405_EB_dbgi_002694_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002694_01_01	sample
20240405_EB_dbgi_002697_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002697_01_01	sample
20240405_EB_dbgi_002740_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002740_01_01	sample
20240405_EB_dbgi_002748_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002748_01_01	sample
20240405_EB_dbgi_002749_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002749_01_01	sample
20240405_EB_dbgi_002753_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002753_01_01	sample
20240405_EB_dbgi_002754_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002754_01_01	sample
20240405_EB_dbgi_002758_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002758_01_01	sample
20240405_EB_dbgi_002759_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002759_01_01	sample
20240405_EB_dbgi_002763_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002763_01_01	sample
20240405_EB_dbgi_002769_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002769_01_01	sample
20240405_EB_dbgi_002778_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002778_01_01	sample
20240405_EB_dbgi_002779_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002779_01_01	sample
20240405_EB_dbgi_002781_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002781_01_01	sample
20240405_EB_dbgi_002783_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002783_01_01	sample
20240405_EB_dbgi_002792_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002792_01_01	sample
20240405_EB_dbgi_002799_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002799_01_01	sample
20240405_EB_dbgi_002803_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002803_01_01	sample
20240405_EB_dbgi_002812_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002812_01_01	sample
20240405_EB_dbgi_002813_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002813_01_01	sample
20240405_EB_dbgi_002815_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002815_01_01	sample
20240405_EB_dbgi_002818_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002818_01_01	sample
20240405_EB_dbgi_002819_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002819_01_01	sample
20240405_EB_dbgi_002820_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002820_01_01	sample
20240405_EB_dbgi_002823_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002823_01_01	sample
20240405_EB_dbgi_002824_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002824_01_01	sample
20240405_EB_dbgi_002825_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002825_01_01	sample
20240405_EB_dbgi_002831_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002831_01_01	sample
20240405_EB_dbgi_002832_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002832_01_01	sample
20240405_EB_dbgi_002834_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002834_01_01	sample
20240405_EB_dbgi_002836_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002836_01_01	sample
20240405_EB_dbgi_002837_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002837_01_01	sample
20240405_EB_dbgi_002841_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002841_01_01	sample
20240405_EB_dbgi_002844_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002844_01_01	sample
20240405_EB_dbgi_002846_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002846_01_01	sample
20240405_EB_dbgi_002847_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002847_01_01	sample
20240405_EB_dbgi_002851_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002851_01_01	sample
20240405_EB_dbgi_002853_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002853_01_01	sample
20240405_EB_dbgi_002855_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002855_01_01	sample
20240405_EB_dbgi_002858_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002858_01_01	sample
20240405_EB_dbgi_002870_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002870_01_01	sample
20240405_EB_dbgi_002872_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002872_01_01	sample
20240405_EB_dbgi_002873_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002873_01_01	sample
