ott_id,organism_otol_kingdom,organism_otol_phylum,organism_otol_class,organism_otol_order,organism_otol_family,organism_otol_genus,organism_otol_species,organism_otol_unique_name,organism_otol_kingdom_ott_id,organism_otol_phylum_ott_id,organism_otol_class_ott_id,organism_otol_order_ott_id,organism_otol_family_ott_id,organism_otol_genus_ott_id,organism_otol_species_ott_id,domain,infrakingdom,no rank,section,subclass,subfamily,subgenus,subkingdom,suborder,subphylum,subtribe,superorder,tribe,domain_ott_id,infrakingdom_ott_id,no rank_ott_id,section_ott_id,subclass_ott_id,subfamily_ott_id,subgenus_ott_id,subkingdom_ott_id,suborder_ott_id,subphylum_ott_id,subtribe_ott_id,superorder_ott_id,tribe_ott_id,flags,rank,varietas,varietas_ott_id
1025161,Archaeplastida,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,Salvia glutinosa,Salvia glutinosa,5268475.0,916750.0,99252.0,23736.0,544714.0,374096.0,1025161.0,Eukaryota,,life,,,Nepetoideae,,,,,,,Mentheae,304358.0,,805080.0,,,394658.0,,,,,,,498490.0,['incertae_sedis'],species,,
1026987,Archaeplastida,Streptophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Lomelosia,Lomelosia graminifolia,Lomelosia graminifolia,5268475.0,916750.0,99252.0,659705.0,69534.0,994146.0,1026987.0,Eukaryota,,life,,,,,,,,,campanulids,,304358.0,,805080.0,,,,,,,,,596121.0,,[],species,,
1030424,Archaeplastida,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Lupinus,Lupinus albus,Lupinus albus,5268475.0,916750.0,99252.0,956360.0,560323.0,878988.0,1030424.0,Eukaryota,,life,,,Papilionoideae,,,,,,,Genisteae,304358.0,,805080.0,,,39538.0,,,,,,,1090346.0,[],species,,
1030991,Archaeplastida,Streptophyta,Magnoliopsida,Aquifoliales,Helwingiaceae,Helwingia,Helwingia japonica,Helwingia japonica,5268475.0,916750.0,99252.0,596120.0,162559.0,1030990.0,1030991.0,Eukaryota,,life,,,,,,,,,campanulids,,304358.0,,805080.0,,,,,,,,,596121.0,,[],species,,
1035478,Archaeplastida,Streptophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,Selaginella umbrosa,Selaginella umbrosa,5268475.0,916750.0,144795.0,144821.0,144818.0,144816.0,1035478.0,Eukaryota,,life,,,,,,,,,,,304358.0,,805080.0,,,,,,,,,,,[],species,,
1036115,Archaeplastida,Streptophyta,Magnoliopsida,Boraginales,Boraginaceae,Pulmonaria,Pulmonaria mollis,Pulmonaria mollis,5268475.0,916750.0,99252.0,5261925.0,147029.0,603949.0,1036115.0,Eukaryota,,life,,,Boraginoideae,,,,,Boragininae,,Boragineae,304358.0,,805080.0,,,6061933.0,,,,,6061935.0,,6061934.0,[],species,,
1036117,Archaeplastida,Streptophyta,Magnoliopsida,Boraginales,Boraginaceae,Pulmonaria,Pulmonaria obscura (species in kingdom Archaeplastida),Pulmonaria obscura (species in kingdom Archaeplastida),5268475.0,916750.0,99252.0,5261925.0,147029.0,603949.0,1036117.0,Eukaryota,,life,,,Boraginoideae,,,,,Boragininae,,Boragineae,304358.0,,805080.0,,,6061933.0,,,,,6061935.0,,6061934.0,[],species,,
1036384,Archaeplastida,Streptophyta,Magnoliopsida,Malpighiales,Hypericaceae,Hypericum,Hypericum prolificum,Hypericum prolificum,5268475.0,916750.0,99252.0,429482.0,873015.0,974217.0,1036384.0,Eukaryota,,life,,,,,,,,,,Hypericeae,304358.0,,805080.0,,,,,,,,,,1001315.0,['sibling_higher'],species,,
1040269,Archaeplastida,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Tanacetum,Tanacetum coccineum,Tanacetum coccineum,5268475.0,916750.0,99252.0,1042120.0,46248.0,1019571.0,1040269.0,Eukaryota,,life,,,Asteroideae,,,,,Anthemidinae,campanulids,Anthemideae,304358.0,,805080.0,,,1084160.0,,,,,177945.0,596121.0,557765.0,['sibling_higher'],species,,
1046412,Archaeplastida,Streptophyta,Magnoliopsida,Boraginales,Boraginaceae,Alkanna,Alkanna orientalis,Alkanna orientalis,5268475.0,916750.0,99252.0,5261925.0,147029.0,563370.0,1046412.0,Eukaryota,,life,,,Boraginoideae,,,,,,,Lithospermeae,304358.0,,805080.0,,,6061933.0,,,,,,,6062009.0,[],species,,
1049246,Archaeplastida,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cota,Cota tinctoria,Cota tinctoria,5268475.0,916750.0,99252.0,1042120.0,46248.0,420742.0,1049246.0,Eukaryota,,life,,,Asteroideae,,,,,Anthemidinae,campanulids,Anthemideae,304358.0,,805080.0,,,1084160.0,,,,,177945.0,596121.0,557765.0,[],species,,
1049792,Archaeplastida,Streptophyta,Magnoliopsida,Alismatales,Araceae,Zamioculcas,Zamioculcas zamiifolia,Zamioculcas zamiifolia,5268475.0,916750.0,99252.0,399481.0,481972.0,1049812.0,1049792.0,Eukaryota,,life,,,Aroideae,,,,,,,Caladieae,304358.0,,805080.0,,,1085574.0,,,,,,,316048.0,[],species,,
1049799,Archaeplastida,Streptophyta,Magnoliopsida,Alismatales,Araceae,Anthurium,,Anthurium,5268475.0,916750.0,99252.0,399481.0,481972.0,1049799.0,,Eukaryota,,life,,,Pothoideae,,,,,,,Potheae,304358.0,,805080.0,,,1085575.0,,,,,,,61079.0,[],genus,,
1049814,Archaeplastida,Streptophyta,Magnoliopsida,Alismatales,Araceae,Anthurium,Anthurium scherzerianum,Anthurium scherzerianum,5268475.0,916750.0,99252.0,399481.0,481972.0,1049799.0,1049814.0,Eukaryota,,life,,,Pothoideae,,,,,,,Potheae,304358.0,,805080.0,,,1085575.0,,,,,,,61079.0,[],species,,
1058720,Archaeplastida,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Symphyotrichum,Symphyotrichum oblongifolium,Symphyotrichum oblongifolium,5268475.0,916750.0,99252.0,1042120.0,46248.0,1058735.0,1058720.0,Eukaryota,,life,,,Asteroideae,,,,,,campanulids,Astereae,304358.0,,805080.0,,,1084160.0,,,,,,596121.0,1084166.0,['sibling_higher'],species,,
1058874,Archaeplastida,Streptophyta,Magnoliopsida,Poales,Cyperaceae,Cyperus,Cyperus friburgensis,Cyperus friburgensis,5268475.0,916750.0,99252.0,921871.0,105574.0,266228.0,1058874.0,Eukaryota,,life,Cyperus sect. Luzuloidei,Petrosaviidae,Cyperoideae,,,,,,,Cypereae,304358.0,,805080.0,7047377.0,5308424.0,423248.0,,,,,,,423245.0,[],species,,
1059237,Archaeplastida,Streptophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Verbascum,Verbascum lychnitis,Verbascum lychnitis,5268475.0,916750.0,99252.0,23736.0,23713.0,264474.0,1059237.0,Eukaryota,,life,,,,,,,,,,Scrophularieae,304358.0,,805080.0,,,,,,,,,,846872.0,[],species,,
1059759,Archaeplastida,Streptophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia myrsinites,Euphorbia myrsinites,5268475.0,916750.0,99252.0,429482.0,914245.0,109494.0,1059759.0,Eukaryota,,life,Euphorbia sect. Myrsiniteae,,Euphorbioideae,Esula,,,,,,Euphorbieae,304358.0,,805080.0,5147193.0,,719243.0,5147159.0,,,,,,520955.0,[],species,,
1060490,Archaeplastida,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Phaseolus,Phaseolus coccineus,Phaseolus coccineus,5268475.0,916750.0,99252.0,956360.0,560323.0,826181.0,1060490.0,Eukaryota,,life,,,Papilionoideae,,,,,,,Phaseoleae,304358.0,,805080.0,,,39538.0,,,,,,,563857.0,[],species,,
1061736,Archaeplastida,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Strongylodon,Strongylodon macrobotrys,Strongylodon macrobotrys,5268475.0,916750.0,99252.0,956360.0,560323.0,970056.0,1061736.0,Eukaryota,,life,,,Papilionoideae,,,,,,,Phaseoleae,304358.0,,805080.0,,,39538.0,,,,,,,563857.0,[],species,,
1063924,Archaeplastida,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Amphicarpaea,Amphicarpaea bracteata,Amphicarpaea bracteata,5268475.0,916750.0,99252.0,956360.0,560323.0,1063930.0,1063924.0,Eukaryota,,life,,,Papilionoideae,,,,,,,Phaseoleae,304358.0,,805080.0,,,39538.0,,,,,,,563857.0,[],species,,
1065645,Archaeplastida,Streptophyta,Magnoliopsida,Caryophyllales,Montiaceae,Cistanthe,Cistanthe grandiflora,Cistanthe grandiflora,5268475.0,916750.0,99252.0,216628.0,1061273.0,115806.0,1065645.0,Eukaryota,,life,,,,,,Cactineae,,,,,304358.0,,805080.0,,,,,,33109.0,,,,,[],species,,
1065760,Archaeplastida,Streptophyta,Magnoliopsida,Lamiales,Plantaginaceae,Veronica,Veronica filiformis,Veronica filiformis,5268475.0,916750.0,99252.0,23736.0,1041309.0,507032.0,1065760.0,Eukaryota,,life,,,,Pocilla,,,,,,Veroniceae,304358.0,,805080.0,,,,5334372.0,,,,,,705593.0,[],species,,
1066138,Archaeplastida,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Carthamus,Carthamus lanatus,Carthamus lanatus,5268475.0,916750.0,99252.0,1042120.0,46248.0,1092848.0,1066138.0,Eukaryota,,life,,,Carduoideae,,,,,Centaureinae,campanulids,Cardueae,304358.0,,805080.0,,,527107.0,,,,,627941.0,596121.0,557760.0,[],species,,
1066139,Archaeplastida,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Carlina,Carlina vulgaris,Carlina vulgaris,5268475.0,916750.0,99252.0,1042120.0,46248.0,792925.0,1066139.0,Eukaryota,,life,,,Carduoideae,,,,,Carlininae,campanulids,Cardueae,304358.0,,805080.0,,,527107.0,,,,,54959.0,596121.0,557760.0,['sibling_higher'],species,,
1067735,Archaeplastida,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Tilia,Tilia platyphyllos,Tilia platyphyllos,5268475.0,916750.0,99252.0,229284.0,279960.0,30483.0,1067735.0,Eukaryota,,life,,,Tilioideae,,,,,,,,304358.0,,805080.0,,,996483.0,,,,,,,,[],species,,
1069824,Archaeplastida,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Tussilago,Tussilago farfara,Tussilago farfara,5268475.0,916750.0,99252.0,1042120.0,46248.0,361394.0,1069824.0,Eukaryota,,life,,,Asteroideae,,,,,Tussilagininae,campanulids,Senecioneae,304358.0,,805080.0,,,1084160.0,,,,,784012.0,596121.0,557768.0,[],species,,
1070443,Archaeplastida,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Tragopogon,Tragopogon orientalis,Tragopogon orientalis,5268475.0,916750.0,99252.0,1042120.0,46248.0,143408.0,1070443.0,Eukaryota,,life,,,Cichorioideae,,,,,Scorzonerinae,campanulids,Cichorieae,304358.0,,805080.0,,,578390.0,,,,,472093.0,596121.0,578387.0,[],species,,
1070795,Archaeplastida,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia dracunculus,Artemisia dracunculus,5268475.0,916750.0,99252.0,1042120.0,46248.0,465444.0,1070795.0,Eukaryota,,life,,,Asteroideae,,,,,Artemisiinae,campanulids,Anthemideae,304358.0,,805080.0,,,1084160.0,,,,,127124.0,596121.0,557765.0,['sibling_higher'],species,,
1071036,Archaeplastida,Streptophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea purpurea,Ipomoea purpurea,5268475.0,916750.0,99252.0,1050255.0,494850.0,494853.0,1071036.0,Eukaryota,,life,,,,,,,,,,Ipomoeeae,304358.0,,805080.0,,,,,,,,,,302647.0,[],species,,
1071040,Archaeplastida,Streptophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea batatas,Ipomoea batatas,5268475.0,916750.0,99252.0,1050255.0,494850.0,494853.0,1071040.0,Eukaryota,,life,,,,,,,,,,Ipomoeeae,304358.0,,805080.0,,,,,,,,,,302647.0,[],species,,
1073776,Archaeplastida,Streptophyta,Magnoliopsida,Malpighiales,Violaceae,Melicytus,Melicytus crassifolius,Melicytus crassifolius,5268475.0,916750.0,99252.0,429482.0,224730.0,51192.0,1073776.0,Eukaryota,,life,,,,,,,,,,,304358.0,,805080.0,,,,,,,,,,,[],species,,
1077687,Archaeplastida,Streptophyta,Magnoliopsida,Cucurbitales,Begoniaceae,Begonia,Begonia masoniana,Begonia masoniana,5268475.0,916750.0,99252.0,11011.0,530192.0,530190.0,1077687.0,Eukaryota,,life,Begonia sect. Coelocentrum,,,,,,,,,,304358.0,,805080.0,7054839.0,,,,,,,,,,[],species,,
1079477,Archaeplastida,Streptophyta,Magnoliopsida,Rosales,Urticaceae,Pilea,Pilea peperomioides,Pilea peperomioides,5268475.0,916750.0,99252.0,208031.0,658494.0,1091013.0,1079477.0,Eukaryota,,life,,,,,,,,,,,304358.0,,805080.0,,,,,,,,,,,[],species,,
